cod_distr;grupo_ipvs;n_pessoas;n_domicilios;n_setor
355030870;Muito Alta Vulnerabilidade;30;11;1
355030871;Baixíssima Vulnerabilidade;62783;25691;157
355030871;Muito Baixa Vulnerabilidade;18657;7755;48
355030871;Baixa Vulnerabilidade;2814;1562;9
355030871;Média Vulnerabilidade;0;0;0
355030871;Alta Vulnerabilidade;0;0;0
355030871;Muito Alta Vulnerabilidade;0;0;0
355030872;Baixíssima Vulnerabilidade;5774;2172;11
355030872;Muito Baixa Vulnerabilidade;113114;43591;189
355030872;Baixa Vulnerabilidade;7284;3161;10
355030872;Média Vulnerabilidade;1283;598;2
355030872;Alta Vulnerabilidade;5041;1760;6
355030872;Muito Alta Vulnerabilidade;5256;1703;11
355030873;Baixíssima Vulnerabilidade;666;296;1
355030873;Muito Baixa Vulnerabilidade;96540;34724;163
355030873;Baixa Vulnerabilidade;27733;10114;49
355030873;Média Vulnerabilidade;7520;2706;13
355030873;Alta Vulnerabilidade;7487;2724;13
355030873;Muito Alta Vulnerabilidade;15047;5062;32
355030874;Baixíssima Vulnerabilidade;0;0;0
355030874;Muito Baixa Vulnerabilidade;56346;20368;107
355030874;Baixa Vulnerabilidade;6048;2134;13
355030874;Média Vulnerabilidade;6026;2167;13
355030874;Alta Vulnerabilidade;3961;1406;7
355030874;Muito Alta Vulnerabilidade;8128;2797;22
355030875;Baixíssima Vulnerabilidade;0;0;0
355030875;Muito Baixa Vulnerabilidade;45053;16113;79
355030875;Baixa Vulnerabilidade;6503;2246;11
355030875;Média Vulnerabilidade;16464;5810;33
355030875;Alta Vulnerabilidade;15155;5195;30
355030875;Muito Alta Vulnerabilidade;62746;20909;126
355030876;Baixíssima Vulnerabilidade;2425;879;4
355030876;Muito Baixa Vulnerabilidade;121122;43573;201
355030876;Baixa Vulnerabilidade;33590;12063;56
355030876;Média Vulnerabilidade;32328;11579;51
355030876;Alta Vulnerabilidade;21265;7595;34
355030876;Muito Alta Vulnerabilidade;55386;18847;118
355030877;Baixíssima Vulnerabilidade;90068;39358;312
355030877;Muito Baixa Vulnerabilidade;31930;13515;113
355030877;Baixa Vulnerabilidade;4484;2264;14
355030877;Média Vulnerabilidade;0;0;0
355030877;Alta Vulnerabilidade;0;0;0
355030877;Muito Alta Vulnerabilidade;1279;445;4
